region,street,area,floorRange,noOfUnits,contractDate,typeOfSale,price,propertyType,district,typeOfArea,tenure,nettPrice
CCR,SHENTON WAY,126,51-55,1,0620,3,3300000,Apartment,01,Strata,99 yrs lease commencing from 2011,
CCR,SHENTON WAY,44,46-50,1,1016,1,1350800,Apartment,01,Strata,99 yrs lease commencing from 2011,
CCR,SHENTON WAY,112,46-50,1,1019,3,2972080,Apartment,01,Strata,99 yrs lease commencing from 2011,
CCR,SHENTON WAY,44,06-10,1,0119,2,1130000,Apartment,01,Strata,99 yrs lease commencing from 2011,
CCR,SHENTON WAY,112,36-40,1,0116,1,2494035,Apartment,01,Strata,99 yrs lease commencing from 2011,
CCR,SHENTON WAY,141,41-45,1,0320,3,3400000,Apartment,01,Strata,99 yrs lease commencing from 2011,
CCR,SHENTON WAY,113,46-50,1,0218,1,2889600,Apartment,01,Strata,99 yrs lease commencing from 2011,
CCR,SHENTON WAY,113,46-50,1,1219,3,2650000,Apartment,01,Strata,99 yrs lease commencing from 2011,
CCR,SHENTON WAY,126,46-50,1,0720,3,3148000,Apartment,01,Strata,99 yrs lease commencing from 2011,
CCR,SHENTON WAY,141,46-50,1,0620,3,3548000,Apartment,01,Strata,99 yrs lease commencing from 2011,
CCR,SHENTON WAY,126,46-50,1,0620,3,3280000,Apartment,01,Strata,99 yrs lease commencing from 2011,
CCR,SHENTON WAY,98,31-35,1,0820,3,2000000,Apartment,01,Strata,99 yrs lease commencing from 2011,
CCR,SHENTON WAY,82,51-55,1,0519,1,2130000,Apartment,01,Strata,99 yrs lease commencing from 2011,
CCR,SHENTON WAY,126,36-40,1,0519,1,2990000,Apartment,01,Strata,99 yrs lease commencing from 2011,
CCR,SHENTON WAY,126,41-45,1,1119,3,3258230,Apartment,01,Strata,99 yrs lease commencing from 2011,
CCR,SHENTON WAY,164,41-45,1,0318,1,4306500,Apartment,01,Strata,99 yrs lease commencing from 2011,
CCR,SHENTON WAY,44,31-35,1,0319,2,1122000,Apartment,01,Strata,99 yrs lease commencing from 2011,
CCR,SHENTON WAY,113,46-50,1,0417,1,2406000,Apartment,01,Strata,99 yrs lease commencing from 2011,
CCR,SHENTON WAY,166,46-50,1,1220,3,3000000,Apartment,01,Strata,99 yrs lease commencing from 2005,
CCR,SHENTON WAY,106,26-30,1,0720,3,1733000,Apartment,01,Strata,99 yrs lease commencing from 2005,
CCR,SHENTON WAY,102,26-30,1,0418,3,1838000,Apartment,01,Strata,99 yrs lease commencing from 2005,
CCR,SHENTON WAY,85,06-10,1,1120,3,1560000,Apartment,01,Strata,99 yrs lease commencing from 2005,
CCR,SHENTON WAY,109,06-10,1,1220,3,1583550,Apartment,01,Strata,99 yrs lease commencing from 2005,
CCR,SHENTON WAY,105,31-35,1,0920,3,1750000,Apartment,01,Strata,99 yrs lease commencing from 2005,
CCR,SHENTON WAY,56,16-20,1,1120,3,1020000,Apartment,01,Strata,99 yrs lease commencing from 2005,
CCR,SHENTON WAY,54,31-35,1,0121,3,1038000,Apartment,01,Strata,99 yrs lease commencing from 2005,
CCR,SHENTON WAY,111,11-15,1,1220,3,1553500,Apartment,01,Strata,99 yrs lease commencing from 2005,
CCR,SHENTON WAY,177,31-35,1,0121,3,4300000,Apartment,01,Strata,99 yrs lease commencing from 2005,
CCR,SHENTON WAY,85,36-40,1,1120,3,1620000,Apartment,01,Strata,99 yrs lease commencing from 2005,
CCR,SHENTON WAY,114,26-30,1,0220,3,2000000,Apartment,01,Strata,99 yrs lease commencing from 2005,
CCR,SHENTON WAY,105,21-25,1,0916,3,1730000,Apartment,01,Strata,99 yrs lease commencing from 2005,
CCR,SHENTON WAY,103,11-15,1,0216,3,1800000,Apartment,01,Strata,99 yrs lease commencing from 2005,
